True_X,True_Y,Predicted_X,Predicted_Y,Predicted_Dist
0.61367637,-0.24032618,0.55285525,-0.26710486,0.0664553
0.84961593,-0.00037674326,0.8993806,-0.010311261,0.050746616
1.0862476,0.06461393,1.0331421,0.113691896,0.0723107
0.36591107,0.12899855,0.38269562,0.13074876,0.016875556
0.42106533,0.013583779,0.38900477,0.15454087,0.1445572
0.6094019,-0.24001135,0.55384356,-0.27210927,0.06416388
0.5986979,0.24090885,0.55610543,0.24171473,0.042600088
1.0659591,0.032301668,1.0261323,0.08193061,0.06363334
0.85875124,-0.0041360236,0.89935917,-0.010323375,0.0410766
0.60729575,-0.23697506,0.5535048,-0.26917738,0.06269333
0.5116057,-0.3692326,0.560518,-0.33019543,0.062580496
1.0292573,0.17935684,1.0331486,0.10200791,0.07744675
0.39196575,0.2293266,0.38807023,0.15724176,0.072190024
0.60252625,-0.24443662,0.55321646,-0.2677374,0.054537885
0.42241117,0.15608473,0.37910125,0.117614806,0.057928275
0.65278095,0.22568724,0.55620503,0.24164025,0.09788466
1.0607241,0.1300819,1.0336033,0.11383681,0.03161396
0.35762447,-0.0048867594,0.3710193,0.029535547,0.03693666
0.51623815,-0.3665299,0.55311704,-0.348624,0.040996026
0.79966134,-0.060273733,0.9023764,-0.011039615,0.11390516
0.84548116,-0.044570804,0.9000866,-0.009587754,0.06485034
0.84004045,-0.0033081977,0.8998687,-0.009982139,0.060199376
0.59911776,0.23845226,0.55711555,0.24297507,0.042245008
0.5035075,-0.36943763,0.5504128,-0.3491214,0.051116094
0.4010745,0.16851608,0.38858405,0.15803224,0.016307127
0.34756687,-0.020606346,0.36990735,0.032462366,0.057579383
0.34985423,0.0058441856,0.3702564,0.03263525,0.033675056
1.0433921,0.19112094,1.0338371,0.11025596,0.08142753
0.5165101,-0.3569358,0.55334985,-0.34862977,0.03776447
0.83221793,0.021347597,0.9003488,-0.008819297,0.07451077
0.51072884,-0.37077457,0.5595939,-0.33133364,0.06279636
0.35914215,0.029425388,0.37122777,0.027973369,0.0121725295
0.60259044,-0.24188474,0.5527561,-0.26775187,0.05614778
0.6225467,-0.23876652,0.5533129,-0.26693323,0.07474409
0.6010585,0.23526694,0.5594194,0.25099248,0.04450962
0.3698728,0.050567735,0.37036803,0.032555506,0.018019035
0.38529232,0.1735734,0.38193163,0.12722228,0.04647279
0.6055833,-0.24449714,0.55390525,-0.27227122,0.058668744
0.35532528,0.049899153,0.37017232,0.031817265,0.023396352
0.52617913,0.3659721,0.5745261,0.38014472,0.050381437
0.83950144,-0.00882065,0.9000897,-0.009068955,0.06058875
0.84875196,-0.031453233,0.8999084,-0.009282276,0.055754237
0.59990287,-0.24484757,0.5535913,-0.2667935,0.05124826
0.35853276,-0.0111751985,0.3697064,0.032541662,0.045122217
1.0425762,0.18066907,1.0336233,0.10407537,0.07711516
0.50977373,-0.3695493,0.5577843,-0.33248246,0.060654495
0.39989236,0.164265,0.38452205,0.14866638,0.021898938
0.5395161,0.39553744,0.5730873,0.3856203,0.035005342
0.5090367,-0.38455826,0.55663913,-0.33413374,0.06934423
0.36381933,-0.0031697487,0.3705528,0.029288635,0.033149455
0.60788846,-0.24371451,0.5533769,-0.26753706,0.059489686
0.60438144,0.23893577,0.5559607,0.24272455,0.048568733
0.55224454,0.3769422,0.5714336,0.37003058,0.02039584
0.35634694,0.04720182,0.3696939,0.03265623,0.01974122
1.0633175,0.042920575,1.0258553,0.081235066,0.053585626
0.516805,-0.3696655,0.5534782,-0.34863967,0.042273022
0.541092,0.36769786,0.56966406,0.3632533,0.028915707
0.30696088,0.08988208,0.38440514,0.13730517,0.09081058
0.6404478,0.2385222,0.5555704,0.24188577,0.084943995
0.5122565,-0.36975664,0.54860455,-0.34864706,0.04203326
0.542014,0.40204582,0.5728519,0.38476223,0.035351068
0.60196,-0.2355973,0.5530691,-0.2682701,0.058803327
0.53693634,0.37198842,0.57276565,0.3753419,0.0359859
0.85359526,-0.03449914,0.89949113,-0.00988479,0.052079726
0.60424006,-0.23293634,0.55358297,-0.26690638,0.060992662
0.5431475,-0.38857967,0.5543249,-0.34753412,0.042540237
0.54016274,0.37688947,0.56954706,0.36325693,0.032392655
0.56041354,-0.3964351,0.55928123,-0.3389904,0.057455882
0.60018635,0.24066414,0.55612713,0.24221937,0.044086657
0.5969715,0.24286474,0.5574226,0.24233098,0.039552536
0.595852,-0.23480363,0.55311567,-0.2682684,0.05427971
0.5937904,-0.23951896,0.55312884,-0.2678333,0.049548615
0.8514988,-0.0047655026,0.89949113,-0.00988479,0.04826461
0.5971138,0.23768534,0.5558481,0.24356897,0.041683
0.8407315,-0.012422953,0.89984345,-0.010168735,0.05915492
0.6020771,-0.24191876,0.5535913,-0.2667935,0.05449428
1.0273141,0.17943844,1.0370061,0.11668879,0.06349374
0.6148806,-0.2403387,0.5531948,-0.26681775,0.067128815
0.55230993,0.378133,0.5714336,0.37003058,0.020769306
0.51976633,-0.36703897,0.55287087,-0.34847325,0.037955187
0.535495,0.3682195,0.57256424,0.37484735,0.03765712
0.5362517,-0.38668388,0.56174517,-0.3296166,0.06250271
0.5432322,0.38179106,0.56923425,0.36248887,0.032383345
0.60555494,0.2423428,0.5555692,0.24178813,0.049988844
0.59915006,-0.24266852,0.5535293,-0.26793066,0.052148126
0.36422572,0.016368156,0.37022123,0.030930296,0.015748082
0.5449753,-0.38453305,0.5622165,-0.32910806,0.058044724
0.53680843,0.39029527,0.57385063,0.38701022,0.03718758
0.8264506,-0.0053304955,0.899322,-0.00955613,0.0729938
0.53691834,0.391334,0.5737275,0.38673717,0.03709507
0.3580041,-0.013351542,0.3702613,0.031847835,0.046831857
1.0276012,0.17923778,1.0367961,0.11538121,0.06451517
0.5357743,0.38605034,0.57391346,0.3832304,0.03824327
0.37083212,0.050004676,0.37060282,0.032540537,0.017465644
0.5655556,-0.41571698,0.55876464,-0.34065163,0.0753719
0.3427278,0.09934842,0.38449693,0.13752697,0.056588527
0.83466154,0.0024343957,0.89977497,-0.009602454,0.06621664
0.55367756,-0.4087012,0.5563066,-0.34430772,0.064447135
1.0328984,0.10763231,1.0342579,0.115783274,0.008263556
0.5389192,0.37458086,0.57146555,0.36897433,0.033025708
0.53730285,0.38183373,0.57641363,0.39075434,0.040115215
0.51919204,-0.36083806,0.5442356,-0.34765154,0.028303064
0.58728236,0.23846236,0.5559711,0.24270307,0.03159714
0.83274037,-0.024605561,0.90230125,-0.011139426,0.07085234
0.5914362,-0.24637575,0.5537775,-0.27174464,0.045406576
0.35518542,-0.0015609391,0.3700184,0.032048285,0.03673686
0.60211605,0.24179667,0.55711555,0.24297507,0.04501592
0.843887,-0.041602008,0.8998271,-0.009620514,0.06443692
0.83804685,-0.0010016281,0.8999084,-0.009282276,0.062413327
0.5954,-0.2413828,0.5529967,-0.2678696,0.049995888
0.41428468,0.14033814,0.38169917,0.12652534,0.035392206
0.3557429,0.005959132,0.3702613,0.031847835,0.029681798
0.53025436,0.37597078,0.5743559,0.37936682,0.0442321
0.6001309,0.23700583,0.5555321,0.24267028,0.044957094
0.5335615,0.37460604,0.5763222,0.38794303,0.0447923
0.3494758,0.010435794,0.3700005,0.031915218,0.02970908
0.5468016,0.3740708,0.57103956,0.36734104,0.025154857
0.3585537,-0.006899892,0.37028617,0.031868562,0.04050486
0.53713495,0.38300538,0.5765501,0.39104074,0.040225904
0.53010714,0.3625923,0.57437134,0.37939376,0.04734562
0.36491436,0.03962184,0.3703813,0.032623902,0.008880234
0.5970407,0.23658441,0.55631435,0.24237542,0.041136023
0.3645018,0.18972842,0.3863525,0.15317233,0.042588748
0.8447237,-0.0010311124,0.9021391,-0.00839486,0.057885714
0.5943493,-0.23771061,0.5534585,-0.27023938,0.05225112
0.41612372,0.1858832,0.3875601,0.15506338,0.042020727
1.0187886,0.2088925,1.0323553,0.106274396,0.10351101
0.5325219,-0.37354296,0.56201106,-0.32926565,0.0531986
1.098842,0.028907835,1.0277408,0.085972786,0.09116901
1.1187204,0.026025582,1.0294974,0.090227395,0.109920986
1.0983695,0.060836114,1.0333376,0.114182845,0.084113136
1.1347128,0.04130584,1.0288073,0.0891127,0.116195865
0.59181464,-0.23322676,0.5527751,-0.2674867,0.051940635
0.35973647,0.0036784315,0.3703957,0.031142674,0.029460203
0.3550111,0.025830006,0.37043762,0.03189882,0.016577331
0.4305943,0.07460718,0.3850638,0.14544459,0.08420787
0.5552694,0.37911054,0.5705624,0.36622196,0.019999785
0.58310014,0.24522524,0.55652344,0.24120705,0.02687874
0.6235812,0.23620011,0.5558405,0.24374284,0.06815931
0.85803795,-0.009288206,0.89950866,-0.00978303,0.041473657
0.362361,-0.0014763046,0.3706862,0.029636309,0.032207195
0.39997423,0.20607266,0.3793087,0.11879656,0.08968936
0.33502933,0.09723328,0.38440928,0.13735816,0.063626915
0.3596597,0.01798837,0.3703728,0.032553308,0.018080594
0.4905482,-0.36341304,0.5568322,-0.33394837,0.07253782
0.8342045,-0.033599254,0.9024339,-0.011369146,0.0717595
0.5391325,0.38514158,0.5755346,0.38951796,0.036664236
0.6033161,0.23711275,0.5559607,0.24272455,0.047686767
0.5320126,0.3558081,0.57838005,0.39042044,0.057861518
0.35505497,-0.01066191,0.37025982,0.031904183,0.045200218
0.5413739,0.3769067,0.5684208,0.3604982,0.031635024
1.0597996,0.09133514,1.0361822,0.1214259,0.03825225
0.35047638,-0.0016117394,0.37024707,0.032573275,0.039490443
0.5452563,0.37315282,0.5708377,0.36677456,0.026364526
0.8496507,0.0019624475,0.89949113,-0.00988479,0.051229164
0.5987668,0.24625923,0.5569263,0.24224906,0.04203223
0.55959356,-0.4118717,0.55864346,-0.34012097,0.07175702
0.8340617,0.0077642906,0.90019417,-0.009620175,0.068379276
1.050935,0.08656821,1.0314307,0.09694962,0.022095064
0.5200762,-0.3724253,0.55272394,-0.34849447,0.04047911
0.35048178,0.10029972,0.38469318,0.13799919,0.050908443
0.8471447,-0.00638368,0.90018094,-0.009009767,0.05310119
0.6044212,0.24398357,0.55619323,0.24160491,0.04828659
0.84337854,-0.027341727,0.8997334,-0.010549318,0.05880355
0.5320352,0.36913624,0.5784374,0.39051992,0.051092338
0.51590663,-0.3740505,0.552579,-0.3485309,0.04467787
0.8382199,-0.014773646,0.8999939,-0.009757873,0.061977312
0.83325255,-0.0051986515,0.9044044,-0.010462306,0.07134628
0.5197771,-0.3690504,0.55259573,-0.34853995,0.038700655
0.5646298,-0.41191578,0.5634798,-0.33190918,0.08001486
0.597233,-0.23940845,0.55340916,-0.2668428,0.051702738
0.55036795,0.4054043,0.5722183,0.38320184,0.031151036
0.35577288,0.018004632,0.36990735,0.032462366,0.020219032
0.36305934,0.012109548,0.3703957,0.031142674,0.020398086
0.36100215,0.12444145,0.3846622,0.1379414,0.027240546
0.54654664,0.3757697,0.5709076,0.36647558,0.02607368
0.35636932,0.0018458805,0.37052077,0.0326344,0.033885047
0.5527112,0.37444508,0.57142866,0.36993235,0.019253787
0.511258,-0.37701505,0.5504367,-0.34853506,0.048436332
0.8462559,-0.0044867485,0.9000467,-0.009803206,0.054052897
0.53626406,0.3784215,0.5728129,0.38084346,0.036629014
0.39448392,0.14483792,0.38111198,0.12564506,0.023391766
0.5409361,0.3696971,0.5711436,0.36999178,0.030208953
0.52198243,-0.3713576,0.5442321,-0.34760678,0.032544546
0.35112494,0.0040301066,0.3702564,0.03263525,0.034413174
0.5540758,-0.3888095,0.5533938,-0.34708983,0.041725248
0.630324,-0.24128854,0.5538199,-0.27243704,0.082602106
0.35699674,-0.0054463805,0.36963058,0.032315657,0.03981941
0.8402988,-0.0047642402,0.90024054,-0.0098347105,0.060155842
0.62297475,-0.23718275,0.5533082,-0.2674834,0.075970784
0.5354297,-0.3699712,0.5542124,-0.34782487,0.029038735
0.60254234,-0.23774055,0.55326337,-0.26791903,0.05778545
0.83018535,-0.047007047,0.8998861,-0.009683434,0.079064794
0.5338651,0.36500663,0.572612,0.37500364,0.040015772
0.5388948,0.39397022,0.5727356,0.38476133,0.035071436
1.0902475,0.033724066,1.0282426,0.086236626,0.0812538
1.0388488,0.13432433,1.034043,0.114820614,0.020087074
0.35406587,-0.0043896474,0.37027928,0.032352224,0.04016018
0.36160713,0.13935235,0.38240963,0.12891181,0.0232755
1.0349706,0.18598099,1.0353322,0.11722812,0.06875382
